include,FALSE,FALSE,FALSE,filtering,filtering,layout,layout,metadata,FALSE,FALSE,metadata,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,?,?,?,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,?,FALSE,metadata,TRUE,TRUE,TRUE,TRUE,TRUE
variable,,,,,,,,,,,,,interval,interval,interval,,nominal,,nominal,nominal,assymetric,,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,assymetric,assymetric,assymetric,,,,asymmetric,asymmetric,asymmetric,asymmetric,,asymmetric,asymmetric,asymmetric,,assymetric,,,assymetric,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,,,,,,,,,interval,interval,interval,interval,interval
weight,,,,,,,,,,,,,1/3,1/3,1/3,,½,,½,1,1,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1
id_burial,id_row,id_unified,id_full,undisturbed,lbk,layout_x,layout_y,sex,sex_dockalova,sex_podborsky,age_cat,age_interval,pit_len,pit_wid,pit_dep,pit_orient,pit_orient_cat,head_orient,head_orient_cat,body_side,pigment,polished_sum,pol_adze,pol_axe,grinding,pebble,lithics_sum,lit_local,lit_nonlocal,lit_kl,lit_skj,lit_other,lit_radiolarit,lit_sgs,pottery_sum,pot_bowl,pot_globular,pot_bottle,pot_special,pot_fragment,pot_head,pot_mid,pot_leg,pot_fill,bone_tool,bone_awl,pendant,pendant_L,pendant_U,pendant_I,buckle_O,bracelet_spond,spond_necklace,beads_spond,beads_marble,dividing_bead,bead_cylinder,bead_circle,bead_olive,deer_teeth,antler,shell,dat,d13c,d15n,sr,sr_ppm,body_height
57,44,7857,57/78,T,T,11.1,12.7,M,M,M,M1,40–50,180,100,40,125,NW,304,NW,L,0,2,2,0,0,0,7,3,4,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.6,10.7,0.71092,72,165.5
58,45,7858,58/78,F,F,6.9,6.4,ind.,NA,NA,NA,NA,140,75,45,130,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
59,46,7859,59/78,T,T,6.4,5.9,M,M,M,A2,25–30,135,85,45,115,E,90,E,R,0,1,1,0,0,0,2,0,2,0,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.4,10.3,0.71144,109,165.8
60,47,7860,60/78,F,T,9.4,13,n. a.,NA,C,NA,NA,120,65,35,126,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
61,48,7861,61/78,T,T,6.1,5.45,F,F,F,M1,40–50,160,90,45,112,E,115,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.8,9.3,0.71161,81,NA
62,49,7862,62/78,T,T,7.15,5.3,F,F,F,A2,30–40,145,80,50,120,SE,127,SE,L,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Ib,-19.9,9.4,0.71129,127,NA
63,50,7863,63/78,T,T,5.15,5.4,M,M,M,M1,40–45,130,75,40,116,SE,130,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,10,0.71167,59,NA
64,51,7864,64/78,T,T,6.45,4.9,F,F,F,A1,18–25,130,80,60,113,E,106,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,9.2,0.71111,57,138.7
65,52,7865,65/78,F,T,5.35,4.15,ind.,NA,NA,NA,NA,170,85,85,132,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
66,53,7866,66/78,T,T,6.4,5.05,M,M,M,A2,30–35,130,90,70,110,E,108,E,L,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.7,9.9,0.71153,104,159.8
67,54,7867,67/78,T,T,5.9,4.7,F,F,F,AM,35–45,150,85,55,114,SE,122,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.6,8.6,0.71226,53,NA
68,55,7868,68/78,T,T,6.2,4.15,F,F,F,M2,50+,170,95,70,125,NW,316,NW,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.5,9.5,0.70959,94,151.3
